,directory,mailbox,user
0,data/enron_small/allen-p/inbox,inbox,inbox
1,data/enron_small/allen-p/inbox,inbox,inbox
2,data/enron_small/allen-p/inbox,inbox,inbox
3,data/enron_small/allen-p/inbox,inbox,inbox
4,data/enron_small/allen-p/inbox,inbox,inbox
5,data/enron_small/allen-p/inbox,inbox,inbox
6,data/enron_small/allen-p/inbox,inbox,inbox
7,data/enron_small/allen-p/inbox,inbox,inbox
8,data/enron_small/allen-p/inbox,inbox,inbox
9,data/enron_small/allen-p/inbox,inbox,inbox
10,data/enron_small/allen-p/inbox,inbox,inbox
11,data/enron_small/allen-p/inbox,inbox,inbox
12,data/enron_small/allen-p/inbox,inbox,inbox
13,data/enron_small/allen-p/inbox,inbox,inbox
14,data/enron_small/allen-p/inbox,inbox,inbox
15,data/enron_small/allen-p/inbox,inbox,inbox
16,data/enron_small/allen-p/inbox,inbox,inbox
17,data/enron_small/allen-p/inbox,inbox,inbox
18,data/enron_small/allen-p/inbox,inbox,inbox
19,data/enron_small/allen-p/inbox,inbox,inbox
20,data/enron_small/allen-p/inbox,inbox,inbox
21,data/enron_small/allen-p/inbox,inbox,inbox
22,data/enron_small/allen-p/inbox,inbox,inbox
23,data/enron_small/allen-p/inbox,inbox,inbox
24,data/enron_small/allen-p/inbox,inbox,inbox
25,data/enron_small/allen-p/inbox,inbox,inbox
26,data/enron_small/allen-p/inbox,inbox,inbox
27,data/enron_small/allen-p/inbox,inbox,inbox
28,data/enron_small/allen-p/inbox,inbox,inbox
29,data/enron_small/allen-p/inbox,inbox,inbox
30,data/enron_small/allen-p/inbox,inbox,inbox
31,data/enron_small/allen-p/inbox,inbox,inbox
32,data/enron_small/allen-p/inbox,inbox,inbox
33,data/enron_small/allen-p/inbox,inbox,inbox
34,data/enron_small/allen-p/inbox,inbox,inbox
35,data/enron_small/allen-p/inbox,inbox,inbox
36,data/enron_small/allen-p/inbox,inbox,inbox
37,data/enron_small/allen-p/inbox,inbox,inbox
38,data/enron_small/allen-p/inbox,inbox,inbox
39,data/enron_small/allen-p/inbox,inbox,inbox
40,data/enron_small/allen-p/inbox,inbox,inbox
41,data/enron_small/allen-p/inbox,inbox,inbox
42,data/enron_small/allen-p/inbox,inbox,inbox
43,data/enron_small/allen-p/inbox,inbox,inbox
44,data/enron_small/allen-p/inbox,inbox,inbox
45,data/enron_small/allen-p/inbox,inbox,inbox
46,data/enron_small/allen-p/inbox,inbox,inbox
47,data/enron_small/allen-p/inbox,inbox,inbox
48,data/enron_small/allen-p/inbox,inbox,inbox
49,data/enron_small/allen-p/inbox,inbox,inbox
50,data/enron_small/allen-p/inbox,inbox,inbox
51,data/enron_small/allen-p/inbox,inbox,inbox
52,data/enron_small/allen-p/inbox,inbox,inbox
53,data/enron_small/allen-p/inbox,inbox,inbox
54,data/enron_small/allen-p/inbox,inbox,inbox
55,data/enron_small/allen-p/inbox,inbox,inbox
56,data/enron_small/allen-p/inbox,inbox,inbox
57,data/enron_small/allen-p/inbox,inbox,inbox
58,data/enron_small/allen-p/inbox,inbox,inbox
59,data/enron_small/allen-p/inbox,inbox,inbox
60,data/enron_small/allen-p/inbox,inbox,inbox
61,data/enron_small/allen-p/inbox,inbox,inbox
62,data/enron_small/allen-p/inbox,inbox,inbox
63,data/enron_small/allen-p/inbox,inbox,inbox
64,data/enron_small/allen-p/inbox,inbox,inbox
65,data/enron_small/allen-p/inbox,inbox,inbox
